DT_U1,DT_U2,DT_U3,DT_ext-int,DT_ext4-int4,DP_U1_c1,DP_U1_c2,DP_U2_c1,DP_U2_c2,DP_U3_c1,DP_U3_c2,Q_U1,Q_U2,Q_U3,P30,DT30
-4.300000000000001,-0.09999999999999964,-1.9000000000000004,19.655366666666666,2021619138.4456482,20.599999999999998,21.2,4.0,2.6999999999999993,-91.3,18.099999999999998,-393.45000000000005,-0.03999999999999986,-96.90000000000002,130.8416943521595,-1.8399999999999999
-3.9000000000000004,0.0,-2.0,13.0359,1301513120.4872952,17.200000000000003,14.9,2.5,1.5,-91.5,15.7,-257.595,0.0,-97.0,101.75,-2.459999999999999
-4.0,0.0,-2.0,12.5463,1263612169.894535,17.799999999999997,15.5,1.6999999999999993,0.5,-91.5,16.3,-268.0,0.0,-99.1,112.75833333333334,-3.16
-4.700000000000001,-0.10000000000000142,-1.9000000000000004,21.549999999999997,2270958974.008094,21.6,22.400000000000002,3.0,1.4000000000000021,-91.6,18.2,-444.85500000000013,-0.04000000000000057,-98.42000000000002,126.94166666666666,-3.0299999999999994
-5.0,-0.09999999999999787,-2.0999999999999996,11.8471,1203546631.4834185,19.0,19.799999999999997,1.5,0.3999999999999986,-91.5,15.3,-447.0,-0.03999999999999915,-102.79499999999999,130.475,-3.5600000000000005
-3.799999999999999,0.0,-2.0999999999999996,14.555466666666666,1454894881.6853313,14.3,17.799999999999997,2.0999999999999996,0.9000000000000004,-91.5,15.400000000000002,-250.2299999999999,0.0,-101.53499999999998,94.59166666666665,-0.7999999999999989
-3.8000000000000007,0.0,-2.0,14.814666666666668,1480678248.3395004,14.299999999999999,17.9,2.4000000000000004,1.0999999999999996,-91.5,15.600000000000001,-250.61000000000007,0.0,-97.1,95.14166666666667,-0.7599999999999998
-5.100000000000001,-0.09999999999999787,-2.1000000000000014,9.4955,960224162.0872726,18.700000000000003,19.4,2.5999999999999996,1.799999999999999,-91.6,15.5,-455.1750000000001,-0.03999999999999915,-103.21500000000006,130.1705149501661,-4.07
-5.1,-0.10000000000000142,-2.0999999999999996,10.213833333333334,1027839654.723568,18.599999999999998,19.4,2.3000000000000007,1.3000000000000007,-91.5,15.700000000000001,-451.60499999999996,-0.04000000000000057,-102.58499999999998,129.69122369878184,-2.960000000000001
-4.900000000000002,-0.10000000000000142,-2.1000000000000014,11.215322480620157,1131554113.7171364,18.7,19.6,2.8000000000000007,2.0,-91.6,15.900000000000002,-432.1800000000002,-0.04000000000000057,-103.53000000000006,129.31666666666666,-1.8467441860465108
-3.799999999999999,-0.09999999999999964,-2.0999999999999996,12.3096,1221089121.3449821,13.799999999999999,17.5,3.1999999999999993,2.9000000000000004,-91.39999999999999,15.7,-247.1899999999999,-0.03999999999999986,-102.26999999999998,100.69166666666666,-0.6999999999999993
-3.8000000000000007,-0.09999999999999964,-2.200000000000001,12.496333333333332,1244652019.5587797,13.9,17.5,2.5,2.299999999999999,-91.39999999999999,15.999999999999998,-248.14000000000004,-0.03999999999999986,-108.24000000000005,101.25833333333333,-0.9000000000000004
-4.899999999999999,0.0,-1.1999999999999993,9.575899999999999,966778111.0645561,18.4,19.200000000000003,2.4000000000000004,1.200000000000001,-91.7,9.3,-431.1999999999999,0.0,-35.879999999999974,114.11666666666667,-2.9399999999999995
-3.8000000000000007,0.0,-2.0,13.268333333333334,1323196675.4742498,13.7,17.4,2.6000000000000014,1.799999999999999,-91.5,15.7,-246.62000000000006,0.0,-97.5,99.35545404208194,-1.5700000000000003
-3.6999999999999993,-0.10000000000000142,-1.5,15.87876666666667,1592595996.0537996,13.4,17.0,2.5,1.4000000000000004,-91.5,27.2,-237.16999999999993,-0.04000000000000057,-73.125,97.86666666666666,-0.5
-4.800000000000001,0.0,-2.0,12.513833333333336,1270086562.2221346,19.4,20.2,2.9000000000000004,2.0999999999999996,-91.7,16.4,-432.9600000000001,0.0,-98.9,117.95,-2.5700000000000003
-4.5,0.0,-1.6999999999999993,18.35713333333333,1914437533.5823498,21.1,21.8,3.299999999999999,2.6999999999999993,-91.7,14.5,-420.3,0.0,-53.71999999999998,120.82405869324474,-2.4000000000000004
-3.5,0.0,-1.8000000000000007,21.87836666666667,2256384527.1820107,16.4,19.799999999999997,3.8999999999999986,2.8999999999999986,-91.39999999999999,18.299999999999997,-240.45000000000002,0.0,-91.80000000000004,105.09999999999998,-1.3699999999999992
-4.599999999999998,0.0,-1.1000000000000014,19.087533333333333,2018377700.2324238,21.6,22.200000000000003,3.5,1.9999999999999982,-91.8,22.6,-436.3099999999998,0.0,-24.860000000000035,123.32571982281286,-2.969999999999999
-4.4,-0.09999999999999964,-0.7999999999999989,21.987133333333333,2288975969.6185474,21.0,21.9,3.6999999999999993,2.1999999999999993,-91.6,12.899999999999999,-411.18000000000006,-0.04499999999999984,-24.999999999999968,109.71666666666668,-1.700000000000001
-4.5,0.0,-1.5999999999999996,20.596299999999996,2132226812.638402,20.1,21.0,3.299999999999999,2.0,-91.7,27.700000000000003,-407.925,0.0,-79.75999999999999,127.02500000000002,-1.3600000000000012
-2.5384615384615365,-3.6461538461538474,-1.0,18.683029292929294,1925463833.8461542,9.049190283400808,17.96578947368421,3.462790697674418,3.6891472868217026,-91.63565891472868,13.0,-129.046597633136,-1.5075443786982254,-31.5,153.05833333333334,-0.336666666666666
-2.956923076923074,-0.4523076923076932,-1.42,21.445099999999996,2220423929.0591164,12.911012145748986,19.805263157894736,4.283720930232558,4.3744186046511615,-91.56976744186046,18.46363636363636,-176.98094437869807,-0.18405443786982284,-74.195,131.07500000000002,-0.3366666666666678
-3.276923076923076,-0.49230769230769234,-0.16666666666666785,23.557271717171716,2447866184.7680893,15.864170040485828,19.923684210526314,4.2232558139534895,4.8984496124031,-91.51937984496124,13.545454545454545,-218.72831360946745,-0.19786982248520713,-5.166666666666703,107.27500000000002,-0.6105555555555551
-3.5,0.0,-1.1000000000000014,22.658366666666673,2351083673.2017813,19.6,17.0,4.099999999999998,4.299999999999999,-91.5,13.200000000000001,-243.77500000000003,0.0,-34.26500000000004,102.26666666666665,-0.7300000000000004
